Title,Album,Artist,File Name,Duration
Unknown,Unknown,Unknown,"Balam_Pichkari_Full_Song_Video_Yeh_Jawaani_Hai_Deewani___Ranbir_Kapoor,_Deepika_.mp3",259.65714285714284
Unknown,Unknown,Unknown,"Deewani_Mastani___Official_Video_Song___Bajirao_Mastani___Deepika_Padukone,_Ranv.mp3",164.85877551020408
Unknown,Unknown,Unknown,Dilli_Wali_Girlfriend_Full_HD_Video_Song_Yeh_Jawaani_Hai_Deewani___Ranbir_Kapoor.mp3,245.60326530612244
Aisa Kuch Shot Nahi,Aisa Kuch Shot Nahi - Single,Emiway,EMIWAY - AISA KUCH SHOT NAI HAI.mp3,198.19102040816327
Brown Rang,International Villager,Honey Singh,Honey Singh - Brown Rang.mp3,179.04326530612244
Unknown,Unknown,Unknown,"Hua_Hain_Aaj_Pehli_Baar_FULL_VIDEO___SANAM_RE___Pulkit_Samrat,_Urvashi_Rautela__.mp3",247.24897959183673
Unknown,Unknown,Unknown,"Jane_Kaise_Kab_Kahan_Iqrar_Ho_Gaya___Kishore_Kumar,_Lata_Mangeshkar___Shakti_198.mp3",357.48571428571427
Unknown,Unknown,Unknown,Kar_Gayi_Chull_-_Kapoor___Sons___Sidharth_Malhotra___Alia_Bhatt___Badshah___Amaa.mp3,142.08
Unknown,Unknown,Unknown,Lae Dooba - Full Video  Aiyaary  Sidharth Malhotra Rakul Preet  Sunidhi Chauhan  Rochak Kohli.mp3,235.128125
Unknown,Unknown,Unknown,Mein hu hero tera.mp3,285.309387755102
Unknown,Unknown,Unknown,Nagada_Sang_Dhol___Full_Song___Goliyon_Ki_Rasleela_Ram_leela.mp3,336.58775510204083
Chor Bazari,Love Aaj Kal (Original Motion Picture Soundtrack),Neeraj Shridhar & Sunidhi Chauhan,Neeraj Shridhar & Sunidhi Chauhan - Chor Bazari.mp3,243.74855
Unknown,Unknown,Unknown,"Pal_Pal_Dil_Ke_Paas_â€“Title__Arijit_Singh__Karan_Deol,_Sahher__Parampara,_Sachet,_Rishi_Rich(256kbps).mp3",182.472
Unknown,Unknown,Unknown,"Raabta_(Kehte_Hain_Khuda)_Full_Song_With_Lyrics___Agent_Vinod___Saif_Ali_Khan,_K.mp3",232.35918367346937
Unknown,Unknown,Unknown,Rozana Full Video Song  Naam Shabana  Akshay Kumar Taapsee Pannu Taher Shabbir I Shreya Rochak.mp3,269.42691666666667
Unknown,Unknown,Unknown,"SANAM_RE_Title__Song_FULL_VIDEO___Pulkit_Samrat,_Yami_Gautam,_Urvashi_Rautela___.mp3",269.4269387755102
Unknown,Unknown,Unknown,Sara_Zamana_Haseeno_Ka_Deewana___Kishore_Kumar___Yaarana_1981_Songs___Amitabh_Ba.mp3,314.174693877551
Unknown,Unknown,Unknown,Sharuhk_Khan-Chaiyya_Chaiyya-Lyrics.mp3,411.4808163265306
Unknown,Unknown,Unknown,"Tareefan___Veere_Di_Wedding___QARAN__Ft._Badshah___Kareena_Kapoor_Khan,_Sonam_Ka.mp3",184.52897959183673
Tera Ghata,Tera Ghata - Single,Gajendra Verma,Tera Ghata.mp3,246.0212244897959
Something Just Like This,Memories...Do Not Open,The Chainsmokers & Coldplay,The Chainsmokers & Coldplay - Something Just Like This.mp3,198.21714285714285
Tanhaai,Unknown,Tulsi Kumar,Tulsi Kumar - Tanhaai .mp3,282.912
Teich Li Ya Baba,Ana Maghribi,Reda Mix,Ya lili - Arabic remix.mp3,222.14529166666668
Unknown,Unknown,Unknown,Zack_Knight_x_Jasmin_Walia_-_Bom_Diggy_(Official_Music_Video).mp3,230.0081632653061
Buzz (feat. Badshah),Buzz (feat. Badshah),Aastha Gill,Aastha Gill - Buzz (feat. Badshah).mp3,193.46285714285713
Aaya Na Tu,Aaya Na Tu,Arjun Kanungo,Arjun Kanungo - Aaya Na Tu.mp3,210.05061224489796
Kaun Hoyega,Qismat (Original Motion Picture Soundtrack),B Praak,B Praak - Kaun Hoyega.mp3,249.88734693877552
